episode_id,title,source_file,turns,chunks,has_pii,notes
ada-chen-rekhi,Ada Chen Rekhi,Ada Chen Rekhi.txt,202,61,False,
adam-fishman,Adam Fishman,Adam Fishman.txt,173,42,False,
adam-grenier,Adam Grenier,Adam Grenier.txt,182,51,False,
adriel-frederick,Adriel Frederick,Adriel Frederick.txt,1,0,False,
aishwarya-naresh-reganti-kiriti-badam,Aishwarya Naresh Reganti + Kiriti Badam,Aishwarya Naresh Reganti + Kiriti Badam.txt,185,75,False,
albert-cheng,Albert Cheng,Albert Cheng.txt,340,61,False,
alex-hardimen,Alex Hardimen,Alex Hardimen.txt,216,44,False,
alex-komoroske,Alex Komoroske,Alex Komoroske.txt,199,74,False,
alexander-embiricos,Alexander Embiricos,Alexander Embiricos.txt,227,71,False,
alisa-cohn,Alisa Cohn,Alisa Cohn.txt,249,75,False,
ami-vora,Ami Vora,Ami Vora.txt,242,58,False,
amjad-masad,Amjad Masad,Amjad Masad.txt,151,42,False,
andrew-wilkinson,Andrew Wilkinson,Andrew Wilkinson.txt,190,69,False,
andy-johns,Andy Johns,Andy Johns.txt,144,54,False,
andy-raskin,Andy Raskin,Andy Raskin_.txt,156,37,False,
anneka-gupta,Anneka Gupta,Anneka Gupta.txt,149,51,False,
annie-duke,Annie Duke,Annie Duke.txt,151,71,False,
annie-pearl,Annie Pearl,Annie Pearl.txt,244,40,False,
anton-osika,Anton Osika,Anton Osika.txt,194,40,False,
anuj-rathi,Anuj Rathi,Anuj Rathi.txt,140,52,False,
aparna-chennapragada,Aparna Chennapragada,Aparna Chennapragada.txt,150,42,False,
april-dunford-2-0,April Dunford 2.0,April Dunford 2.0.txt,244,83,False,
april-dunford,April Dunford,April Dunford.txt,248,45,False,
archie-abrams,Archie Abrams,Archie Abrams.txt,265,47,False,
arielle-jackson,Arielle Jackson,Arielle Jackson.txt,231,65,False,
asha-sharma,Asha Sharma,Asha Sharma.txt,1,0,False,
austin-hay,Austin Hay,Austin Hay.txt,180,86,False,
ayo-omojola,Ayo Omojola,Ayo Omojola.txt,1,0,False,
